Electricity Consumption Residential ,Daily Average,HH Income,HU,Households,GDP,POP,PM 10,PM2.5,Sunshine Hrs Mean,Elec Prices,Rain Days
6092.5,28.00739726,4831,0.635,1024500,212723,4265762,61,21,6.066666667,21.4,175
6109.1,27.7430137,4952,0.667,1054100,236158.8,4401365,120,23,5.633333333,25.1,174
6163.7,27.53863014,5362,0.674,1074800,272697.6,4588599,53,19,5.316666667,23.5,195
6094,27.47486339,6100,0.661,1093100,273941.6,4839396,49,16,5.241666667,28.1,182
6430.8,27.92767123,6006,0.637,1119600,282394.5,4987573,59,19,5.95,22.6,166
6636,28.08547945,6342,0.639,1145900,326980.1,5076732,76,17,5.691666667,25.5,178
6482.7,27.5690411,7037,0.669,1146200,351367.9,5183688,55,17,5.575,27.6,188
6629.5,27.54262295,7566,0.646,1152000,368770.5,5312437,57,19,5.533333333,29,191
6754.9,27.65479452,7872,0.634,1174500,384870.3,5399162,215,20,5.433333333,26.8,206
6924.4,27.91835616,8292,0.597,1200000,398947.9,5469724,75,18,5.975,25.6,152
7220.9,28.24136986,8666,0.586,1225300,423444.1,5535002,186,24,6.166666667,21.6,125
7589.4,28.42923497,8846,0.58,1263600,440218.2,5607283,61,15,6,18.6,179
7295.8,27.69534247,9023,0.659,1289900,472079.1,5612253,57,14,5.8,20.1,204
7221.4,27.88520548,9293,0.612,1325300,503395.2,5638676,59,15,5.75,21.9,188
